Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xe6f4254bd2878f384ceec965e0f8908d7a791f61,85.69,10,106,false,BNB Chain,Harmony,2023-05-31 22:02:37.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 06:13:24.000,Merkly
0x17d3d4f182591f3830b51ff5fdc036499a171272,76.59,8,107,false,BNB Chain,Harmony,2023-05-31 22:03:40.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:17:02.000,Merkly
0x1de8fe1e26c27b3436bdb0651fadd6993ca9b938,57.35,6,114,false,BNB Chain,Harmony,2023-05-31 22:04:43.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:10:20.000,Merkly
0xb1b58491dfcf78e0f613697f6cabe5fbebf70c13,57.13,11,91,false,BNB Chain,Harmony,2023-05-31 22:06:49.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:54:29.000,Merkly
0xcca8c56b7afe112450ebe3e5b7246c6dc7badc15,88.36,13,101,false,BNB Chain,Harmony,2023-05-31 22:07:52.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:56:39.000,Merkly
0x81f04f9f34e220812097fcb9f77edfb7ae26d313,65.20,5,117,false,BNB Chain,Harmony,2023-05-31 22:08:55.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 20:11:27.000,Merkly
0xf6fbda64bb87baec2bc42332701082338e9eab88,84.00,6,104,false,BNB Chain,Harmony,2023-05-31 22:09:58.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 02:31:31.000,Merkly
0x27d65c260802b019b03592b4b3392874f4200230,71.50,8,97,false,BNB Chain,Harmony,2023-05-31 22:11:01.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:24:29.000,Merkly
0x52d3a52681abdc5b5e21b0788584bb4da5526e37,69.41,8,112,false,BNB Chain,Harmony,2023-05-31 22:12:04.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:14:07.000,Merkly
0xeb7ce53c7fd103f50e6778b87c333633553d3a7b,87.45,9,104,false,BNB Chain,Harmony,2023-05-31 22:13:07.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:08:04.000,Merkly
0x1afe970074344f8e9a056bc596fddba7d491600f,70.15,6,111,false,BNB Chain,Harmony,2023-05-31 22:14:22.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:54:59.000,Merkly
0xbfb6edf7dbbe469cdc485c6f805784278b85c861,69.63,9,114,false,BNB Chain,Harmony,2023-05-31 22:15:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:42:04.000,Merkly
0x113029eaf63218acc0db0916ca198744960a349a,86.40,10,104,false,BNB Chain,Harmony,2023-05-31 22:16:16.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 12:30:56.000,Merkly
0x2ba5bcdd9eadb8f61226690161a775c14dcf4cf6,82.55,7,105,false,BNB Chain,Harmony,2023-05-31 22:17:19.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:17:01.000,Merkly
0xad095101c7594f84b4ccdab94801843294733b33,89.44,15,100,false,BNB Chain,Harmony,2023-05-31 22:20:28.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:33:39.000,Merkly
